,Cities,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
1010,serowe,bw,-22.3833,26.7167,58.12,74,1,7.76
1012,quatre cocos,mu,-20.2078,57.7625,65.08,63,98,16.46
1014,acapulco,mx,16.8634,-99.8901,83.05,74,100,4.59
1017,kahului,us,20.8947,-156.47,82.29,89,59,11.16
1018,nueva gerona,cu,21.8833,-82.8,86.63,63,98,7.94
1025,elizabeth city,us,36.2946,-76.2511,87.03,77,78,1.99
1035,redwater,ca,53.9502,-113.102,48.78,94,100,13.38
1040,kizema,ru,61.113,44.8302,49.69,93,43,3.27
1042,george,za,-33.963,22.4617,53.4,67,0,4.41
1043,fukue,jp,32.6881,128.8419,81.12,86,100,24.43
1044,marrakesh,ma,31.6315,-8.0083,77.07,65,40,6.91
1045,chishtian mandi,pk,29.8,72.8667,89.28,52,3,7.52
1050,samarai,pg,-10.6167,150.6667,79.68,83,93,9.84
1054,hamada,jp,34.8833,132.0833,77.45,84,100,13.62
1055,san quintin,mx,30.4833,-115.95,73.9,64,0,14.41
1057,plettenberg bay,za,-34.0527,23.3716,53.89,69,0,7.23
1063,provideniya,ru,64.3833,-173.3,50.11,76,0,4.47
1077,evensk,ru,61.95,159.2333,50.49,96,100,1.25
1081,ternate,id,0.8,127.4,79.57,81,88,3.11
1084,nizwa,om,22.9333,57.5333,82.83,57,33,1.86
1089,kasongo-lunda,cd,-6.4667,16.8167,75.99,66,69,2.3
1090,la macarena,co,2.1837,-73.7849,79.2,76,99,1.39
1091,say,ne,13.1007,2.3689,81.77,68,71,7.67
1092,waipawa,nz,-41.4122,175.5153,53.06,66,5,15.97
1095,kota kinabalu,my,5.9749,116.0724,73.38,94,20,3.44
1099,bhaderwah,in,32.9784,75.7186,66.56,93,26,0.43
1103,inuvik,ca,68.3499,-133.7218,60.51,44,99,0.58
1111,santo antonio do amparo,br,-20.9464,-44.9189,67.41,35,0,4.94
1115,sajoszoged,hu,47.95,21.0,68.13,80,100,3.98
1121,neman,ru,55.0311,22.0264,48.36,82,56,6.17
1122,tongzi,cn,28.7829,105.0877,73.98,97,100,1.36
1127,koslan,ru,63.4564,48.8989,47.32,97,100,5.39
1137,coquimbo,cl,-29.9533,-71.3436,53.67,73,13,4.9
1142,galesong,id,-5.3166,119.3661,69.82,72,97,7.11
1143,meulaboh,id,4.1363,96.1285,74.41,91,83,3.91
1144,san-pedro,ci,4.7485,-6.6363,75.43,90,61,4.07
1145,tamandare,br,-8.7597,-35.1047,73.89,89,54,8.57
1146,moron,mn,47.3825,110.3165,52.56,90,100,16.8
1147,kunming,cn,25.0389,102.7183,63.46,95,100,1.68
1159,tierralta,co,8.1736,-76.0592,79.57,88,100,6.06
1162,valkeakoski,fi,61.2642,24.0312,45.39,92,100,13.89
1180,road town,vg,18.4167,-64.6167,84.0,76,67,18.72
1182,bloemfontein,za,-29.1211,26.214,60.91,45,100,12.41
1184,chandur,in,19.7333,79.1833,76.86,83,91,2.42
1185,maniitsoq,gl,65.4167,-52.9,40.86,93,94,8.08
1186,yongchang,cn,30.0381,119.7317,79.16,90,100,2.86
1188,vakhrushev,ru,48.9833,142.9667,59.68,94,100,5.93
1189,pitsunda,ge,43.1592,40.3378,71.78,81,48,7.09
1190,kieta,pg,-6.2167,155.6333,81.63,81,100,7.63
1191,lima,pe,-12.0432,-77.0282,61.14,86,26,8.16
1192,alyangula,au,-13.8483,136.4192,78.26,65,2,22.46
1193,klaksvik,fo,62.2266,-6.589,54.52,98,97,14.25
1194,north platte,us,41.1239,-100.7654,93.97,45,40,5.01
1196,sakakah,sa,29.9697,40.2064,90.36,18,0,9.15
1204,beloha,mg,-25.1667,45.05,63.91,97,12,3.76
1209,tual,id,-5.6667,132.75,79.75,85,64,12.68
1212,sosnovo-ozerskoye,ru,52.5249,111.5418,48.69,87,33,4.76
1217,batagay-alyta,ru,67.8006,130.4114,52.83,77,100,0.54
1225,zaysan,kz,47.4667,84.8667,59.59,26,0,5.35
1230,ikom,ng,5.9667,8.7063,72.66,97,50,2.75
1234,anshun,cn,26.25,105.9333,66.72,94,100,4.0
1235,rozivka,ua,46.9385,35.7724,69.76,53,67,7.65
1238,wadena,ca,51.95,-103.801,62.31,57,89,16.2
1239,nova serrana,br,-19.8761,-44.9836,71.26,35,0,1.12
1244,san jose,gt,16.9833,-89.9,79.93,83,100,1.36
1253,nemuro,jp,43.3236,145.575,58.68,94,100,9.98
1256,salalah,om,17.0151,54.0924,76.95,88,61,8.08
1258,sioux lookout,ca,50.1001,-91.917,66.27,77,90,11.5
1261,francisco beltrao,br,-26.0811,-53.055,70.38,51,23,2.93
1262,harrison,us,30.4091,-89.0436,90.46,69,20,8.05
1265,monterey,us,36.2505,-121.2516,71.44,29,0,11.92
1267,lakatoro,vu,-16.0999,167.4164,78.37,55,12,15.48
1279,lazaro cardenas,mx,17.9583,-102.2,83.14,73,99,5.57
1281,geraldton,au,-28.7667,114.6,50.41,62,0,11.5
1286,iquique,cl,-20.2208,-70.1431,58.48,82,13,5.97
1288,kumluca,tr,36.3703,30.2869,86.29,41,1,8.19
1289,kyaikkami,mm,16.08,97.5675,80.46,81,98,2.06
1295,visnes,no,59.3556,5.2242,56.97,88,72,8.05
1298,poronaysk,ru,49.2167,143.1167,60.3,90,100,7.09
1302,copiapo,cl,-27.3667,-70.3333,51.49,67,92,5.5
1310,yangjiang,cn,21.85,111.9667,80.19,88,97,2.75
1312,skjervoy,no,70.0311,20.9714,48.24,86,100,8.68
1315,coihaique,cl,-45.5752,-72.0662,30.61,93,38,6.42
1317,tigil,ru,57.8,158.6667,64.49,66,99,19.46
1319,jaromerice nad rokytnou,cz,49.0941,15.8933,58.08,91,0,4.61
1323,greenwood,us,34.1668,-82.1165,88.07,61,1,0.0
1324,brody,ua,50.0879,25.1503,59.04,94,100,12.71
1330,half moon bay,us,37.4636,-122.4286,69.13,71,1,1.01
1331,velingrad,bg,42.0272,23.9957,61.66,61,1,2.66
1332,hovd,mn,48.0056,91.6419,50.83,55,0,3.29
1333,broken hill,au,-31.95,141.4333,44.42,57,0,21.36
1334,stavropol,ru,45.0428,41.9733,61.09,94,0,6.71
1340,storforshei,no,66.4043,14.5233,44.65,92,98,1.97
1357,gornopravdinsk,ru,60.05,69.9,65.86,64,14,5.79
1359,kavaratti,in,10.5669,72.642,80.35,78,53,7.92
1368,havelock,nz,-41.2833,173.7667,58.24,66,37,8.43
1372,vestmannaeyjar,is,63.4427,-20.2734,55.74,98,100,22.1
1373,mahajanga,mg,-15.7167,46.3167,69.82,64,0,5.75
1374,mangrol,in,21.1167,70.1167,80.69,83,56,11.03
1379,ferme-neuve,ca,46.7001,-75.4493,74.64,89,74,2.39
1384,korla,cn,41.7597,86.1469,72.81,23,1,4.12
1385,enterprise,us,36.0252,-115.2419,99.73,11,20,11.99
1386,sabang,id,5.8933,95.3214,81.68,77,94,12.37
1389,lahaina,us,20.8783,-156.6825,79.84,79,38,10.2
1394,sorel,ca,46.0418,-73.1136,81.93,61,99,5.95
1402,mandalgovi,mn,45.7625,106.2708,46.22,87,100,30.8
1405,jizan,sa,17.3333,42.6667,90.27,62,50,3.96
1410,chapais,ca,49.7834,-74.8492,69.58,87,89,3.11
1422,nador,ma,35.174,-2.9287,77.25,88,0,11.5
1423,toamasina,mg,-18.1667,49.3833,69.67,81,60,4.32
1428,gibara,cu,21.1097,-76.1317,82.72,79,93,17.83
1429,maraa,br,-1.8333,-65.3667,82.18,63,72,2.71
1430,mago,ru,53.2514,140.1822,68.16,73,100,2.64
1432,monze,zm,-16.2833,27.4833,66.45,60,43,6.2
1440,wanaka,nz,-44.7,169.15,48.61,94,100,6.53
1449,corinth,us,33.154,-97.0647,96.24,41,0,1.01
1450,paita,pe,-5.0892,-81.1144,65.88,82,65,16.84
1454,elat,il,29.5581,34.9482,84.06,51,0,8.01
1459,blackwater,au,-23.5833,148.8833,67.03,66,50,11.97
1460,medak,in,18.0333,78.2667,75.65,86,100,4.32
1465,sturgeon falls,ca,46.3646,-79.9326,79.9,58,0,9.66
1466,puerto leguizamo,co,-0.1934,-74.7819,80.35,73,95,1.36
1467,lavrentiya,ru,65.5833,-171.0,44.8,97,100,3.02
1471,christchurch,nz,-43.5333,172.6333,62.8,51,82,3.44
1472,haines junction,ca,60.7522,-137.5108,61.3,34,100,6.89
1475,oussouye,sn,12.485,-16.5469,78.49,86,80,6.04
1480,ranong,th,9.9658,98.6348,78.66,88,79,8.41
1481,kamiiso,jp,41.8167,140.65,68.9,91,100,2.91
1482,cockburn town,tc,21.4612,-71.1419,84.16,79,40,13.8
1487,mayumba,ga,-3.432,10.6554,74.26,82,50,5.68
1488,nipawin,ca,53.3668,-104.0009,67.96,29,92,11.12
1492,pisco,pe,-13.7,-76.2167,64.02,82,4,3.58
1494,bonavista,ca,48.6499,-53.1147,66.11,80,100,12.33
1499,roebourne,au,-20.7833,117.1333,68.14,34,0,13.4
1500,belle fourche,us,44.6714,-103.8522,94.01,9,67,8.77
1502,balkhash,kz,46.844,74.9804,66.83,38,84,19.62
1503,bloomfield,us,40.8068,-74.1854,80.83,71,75,1.99
1509,oktyabrskiy,ru,54.4815,53.471,68.49,72,88,9.08
1510,sobolevo,ru,54.4299,31.8996,56.64,57,98,2.06
1517,shevchenkove,ua,49.6959,37.1735,56.98,48,67,7.54
1518,alekseyevsk,ru,57.8406,108.3492,52.75,74,100,1.99
1522,mahalapye,bw,-23.1041,26.8142,60.85,67,0,13.53
1529,pedra azul,br,-16.0053,-41.2972,68.36,60,84,7.34
1530,tuzla,ro,44.0,28.6333,65.35,55,6,6.51
1532,lingao,cn,19.9103,109.6859,79.86,84,99,6.35
1533,darhan,mn,49.4867,105.9228,52.41,73,94,8.68
1540,zhaotong,cn,27.3167,103.7167,59.94,94,97,3.56
1542,otavi,na,-19.65,17.3333,66.45,24,4,6.15
1546,fallon,us,39.4735,-118.7774,88.83,13,0,2.46
1548,jibuti,dj,11.5,42.5,83.84,47,46,6.71
1553,arteaga,mx,18.4667,-102.4167,71.17,86,64,4.52
1555,cairns,au,-16.9167,145.7667,74.7,79,5,2.3
1562,peque,co,7.0212,-75.9093,69.75,97,100,2.26
1566,tolmachevo,ru,54.9824,82.7363,60.78,100,75,4.47
1577,merauke,id,-8.4667,140.3333,78.15,86,99,12.75
1584,lahij,ye,13.1667,44.5833,83.44,64,99,8.05
1585,peterborough,us,42.8706,-71.9518,69.58,93,90,0.0
1594,jalingo,ng,8.8833,11.3667,74.21,91,34,2.21
1598,atambua,id,-9.1061,124.8925,73.45,73,59,3.56
1600,faanui,pf,-16.4833,-151.75,78.93,77,13,15.23
1606,ixtapa,mx,20.7,-105.2,76.23,100,90,6.91
1611,marolambo,mg,-20.05,48.1167,61.52,91,77,1.77
1612,sistranda,no,63.7256,8.834,48.16,75,100,5.12
1613,peterhead,gb,57.5058,-1.7981,54.99,95,77,1.25
1614,povarovo,ru,56.0667,37.05,53.4,73,82,3.89
1624,dapdap,ph,12.062,125.4881,77.59,89,97,3.49
1626,podyuga,ru,61.095,40.8647,47.84,98,13,3.04
1630,benguela,ao,-12.5763,13.4055,69.69,84,89,7.09
1634,katsuura,jp,35.1333,140.3,78.91,80,97,9.51
1646,noumea,nc,-22.2763,166.4572,73.38,57,75,11.23
1652,prince rupert,ca,54.3161,-130.3201,59.09,82,40,4.61
1658,bellary,in,15.15,76.9333,77.76,69,93,9.01
1666,santiago,ph,16.6881,121.5487,76.48,91,99,1.68
1671,loja,es,37.1689,-4.1513,75.54,58,24,2.04
1672,castanheira do ribatejo,pt,38.993,-8.9735,68.14,87,19,6.15
1680,luderitz,na,-26.6481,15.1594,55.94,68,0,9.91
1683,dondo,mz,-19.6094,34.7431,63.61,92,0,3.51
1685,kununurra,au,-15.7667,128.7333,75.65,21,2,19.3
1691,yook,ph,13.2261,121.964,81.46,81,100,4.14
1696,sault sainte marie,ca,46.5168,-84.3333,79.09,50,1,6.91
1697,san andres,co,12.5847,-81.7006,82.9,82,79,14.47
1700,ivanovo,ru,56.9942,40.9858,53.58,71,25,4.52
1705,ambunti,pg,-4.2365,142.8448,80.17,76,97,1.25
1708,chaohu,cn,31.6,117.8667,73.87,92,100,4.34
1710,virden,ca,49.8508,-100.9326,67.23,58,7,9.71
1711,caravelas,br,-17.7125,-39.2481,71.62,79,0,9.26
1714,vanavara,ru,60.34,102.2797,46.81,91,12,2.66
1715,yining,cn,29.0361,114.5636,77.88,95,100,1.07
1718,anjad,in,22.0333,75.05,77.52,87,100,3.71
1719,whyalla,au,-33.0333,137.5833,51.8,61,56,14.36
1720,estelle,us,29.8458,-90.1067,94.96,54,75,1.01
1722,san rafael,bo,-12.9288,-64.8727,91.9,28,33,5.7
1726,luau,ao,-10.7073,22.2247,74.64,47,86,3.74
1727,dicabisagan,ph,17.0818,122.4157,80.31,84,100,2.42
1729,natal,br,-5.795,-35.2094,76.57,79,10,13.58
1730,ponta delgada,pt,37.7333,-25.6667,75.92,78,75,10.36
1741,sinnamary,gf,5.3833,-52.95,79.21,86,86,11.41
1742,aksu,cn,41.1231,80.2644,72.97,40,69,3.83
1744,muyezerskiy,ru,63.9333,31.65,43.45,92,99,11.36
1747,anjozorobe,mg,-18.4,47.8667,59.32,86,67,4.54
1749,kassala,sd,15.451,36.4,76.64,80,92,14.45
1750,killybegs,ie,54.6333,-8.45,61.27,88,50,4.27
1752,newcastle,au,-32.9272,151.7765,51.58,98,90,18.41
1759,sorland,no,67.667,12.6934,51.71,77,100,10.33
1762,petukhovo,ru,55.0692,67.9019,67.62,51,3,7.65
1792,nyrob,ru,60.733,56.7202,57.24,84,50,2.15
1794,pastavy,by,55.1168,26.8326,47.46,89,90,6.26
1795,lubao,cd,-5.3667,25.75,75.13,71,48,4.81
1806,akhtanizovskaya,ru,45.32,37.1,72.07,69,16,9.98
1808,olonets,ru,60.9847,32.9698,50.54,88,100,4.59
1810,tingo maria,pe,-9.2895,-76.0088,78.71,67,20,1.39
1816,consett,gb,54.854,-1.8316,53.44,92,67,1.39
1823,koutiala,ml,12.3917,-5.4642,77.9,76,79,6.46
1824,atar,mr,20.5169,-13.0499,86.16,45,98,2.71
1830,anuchino,ru,43.9622,133.0544,71.96,56,97,3.02
1832,guerrero negro,mx,27.9769,-114.0611,79.11,53,2,14.79
1834,tshikapa,cd,-6.4167,20.8,75.07,74,100,8.95
1845,benghazi,ly,32.1167,20.0667,80.31,61,0,8.28
1846,esso,ru,55.9333,158.7,65.07,64,100,8.1
1852,yacuiba,bo,-22.038,-63.6797,68.38,54,0,2.77
1864,santa rosa,ar,-36.6167,-64.2833,46.18,31,100,2.28
1865,sangar,ru,63.9242,127.4739,52.75,85,100,3.31
1869,finschhafen,pg,-6.6024,147.8681,80.71,73,100,6.35
1870,yarmouth,ca,43.8335,-66.1156,73.78,89,71,10.38
1874,frunze,ua,48.6686,38.7544,66.04,57,51,2.33
1894,yefremov,ru,53.1481,38.0992,60.94,53,92,1.86
1902,alta floresta,br,-9.8756,-56.0861,85.05,27,18,2.1
1907,peleduy,ru,59.6289,112.7406,53.31,89,66,2.84
1908,tevaitoa,pf,-16.7833,-151.5,78.8,78,25,15.93
1916,puqi,cn,29.7167,113.8833,74.43,99,100,3.42
1919,libreville,ga,0.3925,9.4537,78.82,83,20,9.22
1921,cataingan,ph,12.003,123.992,76.01,92,100,10.27
1923,pacific grove,us,36.6177,-121.9166,64.67,78,1,3.0
1924,linhares,br,-19.3911,-40.0722,69.94,81,10,6.33
1928,diamantino,br,-14.4086,-56.4461,84.34,28,0,5.73
1929,port hedland,au,-20.3167,118.5667,60.85,44,0,9.22
1932,villa carlos paz,ar,-31.4241,-64.4978,48.79,29,0,1.99
1938,sarkand,kz,45.41,79.9186,66.36,28,44,4.83
1940,kirakira,sb,-10.4544,161.9205,82.65,73,86,16.24
1941,urucara,br,-2.5364,-57.76,85.19,43,99,2.59
1942,san angelo,us,31.4638,-100.437,94.51,39,1,4.0
1946,soe,id,-9.8607,124.284,68.68,58,24,2.98
1950,jiupu,cn,41.0667,122.95,71.73,87,100,3.0
1954,wageningen,sr,5.7667,-56.6833,78.26,87,98,4.68
1956,maceio,br,-9.6658,-35.7353,74.64,88,75,5.75
1963,denpasar,id,-8.65,115.2167,76.66,88,20,5.75
1965,husavik,is,66.0449,-17.3389,58.23,94,100,3.58
1974,kota,in,25.1833,75.8333,81.18,73,88,13.49
1980,ketchikan,us,55.3422,-131.6461,64.38,66,21,4.7
1986,pala,td,9.3642,14.9046,74.39,82,83,3.02
1988,dalby,au,-27.1833,151.2667,53.98,71,100,4.0
1992,saryg-sep,ru,51.5,95.6,44.26,93,12,2.77
1993,kaeo,nz,-35.1,173.7833,55.33,93,61,10.38
1994,anchorage,us,61.2181,-149.9003,55.69,88,90,1.01
1999,nhulunbuy,au,-12.2333,136.7667,79.41,83,75,9.22
